"Page Domain","3P Element Domain","3P Domain Owner","3P Domain Owner Country"
"hurriyet.com.tr","criteo.net","Criteo","FR"
"hurriyet.com.tr","districtm.ca","Unknown",""
"hurriyet.com.tr","districtm.io","Unknown",""
"hurriyet.com.tr","dogannet.tv","Unknown",""
"hurriyet.com.tr","doubleclick.net","DoubleClick","US"
"hurriyet.com.tr","evidon.com","Evidon","US"
"hurriyet.com.tr","facebook.com","Facebook","US"
"hurriyet.com.tr","facebook.net","Facebook","US"
"hurriyet.com.tr","gemius.pl","Gemius","PL"
"hurriyet.com.tr","google-analytics.com","Google Analytics","US"
"hurriyet.com.tr","google.com","Google","US"
"hurriyet.com.tr","googleadservices.com","AdSense","US"
"hurriyet.com.tr","googleapis.com","Google APIs","US"
"hurriyet.com.tr","googlesyndication.com","AdSense","US"
"hurriyet.com.tr","googletagmanager.com","Google Tag Manager","US"
"hurriyet.com.tr","googletagservices.com","Google Tag Manager","US"
"hurriyet.com.tr","hurimg.com","Unknown",""
"hurriyet.com.tr","hurpass.com","Unknown",""
"hurriyet.com.tr","ilan.gov.tr","Unknown",""
"hurriyet.com.tr","jsdelivr.net","jsDelivr","US"
"hurriyet.com.tr","lijit.com","Sovrn","US"
"hurriyet.com.tr","medyanetads.com","Unknown",""
"hurriyet.com.tr","openx.net","OpenX","US"
"hurriyet.com.tr","pubmatic.com","PubMatic","US"
"hurriyet.com.tr","rubiconproject.com","Rubicon Project","US"
"hurriyet.com.tr","s-onetag.com","Unknown",""
"hurriyet.com.tr","useinsider.com","Unknown",""
"hurriyet.com.tr","yandex.ru","Yandex","RU"
"kizlarsoruyor.com","alexametrics.com","Alexa","US"
"kizlarsoruyor.com","cloudfront.net","Amazon Web Services","US"
"kizlarsoruyor.com","dimml.io","Unknown",""
"kizlarsoruyor.com","doubleclick.net","DoubleClick","US"
"kizlarsoruyor.com","facebook.com","Facebook","US"
"kizlarsoruyor.com","facebook.net","Facebook","US"
"kizlarsoruyor.com","gagwebapi.com","Unknown",""
"kizlarsoruyor.com","gemius.pl","Gemius","PL"
"kizlarsoruyor.com","google-analytics.com","Google Analytics","US"
"kizlarsoruyor.com","google.com","Google","US"
"kizlarsoruyor.com","googletagmanager.com","Google Tag Manager","US"
"kizlarsoruyor.com","gstatic.com","Google","US"
"kizlarsoruyor.com","scorecardresearch.com","ScorecardResearch","US"
"live.com","microsoft.com","Microsoft","US"
"live.com","msecnd.net","Unknown",""
